matchID,time,winner,champion,lane,role,kills,deaths,assists,minionsKilled,goldEarned,wardsPlaced
1472757518,1.40662E+12,TRUE,85,TOP,SOLO,2,6,12,230,14730,10
1473623347,1.40669E+12,FALSE,18,MIDDLE,NONE,0,0,0,0,1968,0
1473674457,1.40669E+12,TRUE,236,BOTTOM,DUO_CARRY,9,6,11,264,17437,10
1473771188,1.40669E+12,TRUE,18,BOTTOM,DUO_CARRY,16,5,11,199,16230,13
1476165530,1.40686E+12,FALSE,61,MIDDLE,SOLO,4,13,15,136,11635,14
1476196139,1.40686E+12,TRUE,51,BOTTOM,DUO_CARRY,4,5,11,192,11297,6
1476384639,1.40687E+12,FALSE,26,MIDDLE,DUO_CARRY,6,8,1,62,5989,1
1476401805,1.40688E+12,FALSE,101,MIDDLE,SOLO,9,9,11,192,14017,11
1477650722,1.40696E+12,TRUE,101,MIDDLE,SOLO,3,0,17,153,10993,10
1477628497,1.40696E+12,FALSE,101,MIDDLE,SOLO,6,4,5,208,11458,8
1478771002,1.40704E+12,TRUE,101,MIDDLE,SOLO,5,0,9,250,14240,11
1478800669,1.40705E+12,TRUE,101,MIDDLE,SOLO,13,6,17,243,18355,13
1479611673,1.40711E+12,FALSE,101,MIDDLE,SOLO,6,11,11,129,10958,13
1479883028,1.40712E+12,TRUE,57,TOP,SOLO,3,7,9,167,11117,13
1480701399,1.40719E+12,TRUE,42,BOTTOM,DUO_CARRY,14,2,5,137,11396,6
1480780924,1.40719E+12,FALSE,101,MIDDLE,SOLO,7,6,5,182,11644,10
1482199456,1.40729E+12,TRUE,51,BOTTOM,DUO_CARRY,5,2,7,166,9561,4
1482302852,1.40729E+12,TRUE,57,TOP,SOLO,5,8,14,178,13744,12
1482417591,1.40729E+12,FALSE,18,BOTTOM,DUO_CARRY,13,12,8,255,15929,7
1482633728,1.4073E+12,TRUE,38,MIDDLE,SOLO,7,5,19,126,11364,15
1482670941,1.4073E+12,TRUE,104,BOTTOM,DUO_CARRY,6,4,6,177,12323,9
1482679478,1.4073E+12,TRUE,18,BOTTOM,DUO_CARRY,12,5,12,146,13976,9
1482740614,1.40731E+12,FALSE,42,BOTTOM,DUO_CARRY,7,6,10,259,16573,10
1483556293,1.40737E+12,FALSE,91,MIDDLE,SOLO,5,6,1,114,7473,4
1485214177,1.40747E+12,TRUE,117,TOP,SOLO,2,4,11,141,9500,8
1485271719,1.40748E+12,TRUE,105,JUNGLE,NONE,10,7,16,16,13405,21
1486197953,1.40755E+12,FALSE,38,MIDDLE,SOLO,9,4,8,116,10458,12
1486278866,1.40755E+12,TRUE,64,JUNGLE,NONE,6,10,30,96,17592,26
1486510612,1.40756E+12,TRUE,28,JUNGLE,NONE,9,8,23,112,16506,10
1489971461,1.4078E+12,TRUE,18,BOTTOM,DUO_CARRY,15,2,10,290,19399,10
1490007429,1.4078E+12,TRUE,96,BOTTOM,DUO_CARRY,11,5,16,277,18846,6
1490305099,1.40781E+12,FALSE,64,JUNGLE,NONE,2,6,1,9,5413,14
1490354889,1.40782E+12,FALSE,121,TOP,SOLO,1,7,1,129,6762,5
1492747388,1.40798E+12,FALSE,42,BOTTOM,DUO_CARRY,3,5,4,129,7279,5
1492817660,1.40798E+12,FALSE,18,BOTTOM,DUO_CARRY,15,9,15,309,20841,9
1493236858,1.40799E+12,FALSE,18,BOTTOM,DUO_CARRY,2,5,2,211,11974,6
1494401275,1.40807E+12,TRUE,18,BOTTOM,DUO,6,4,16,110,10248,3
1494399493,1.40807E+12,FALSE,76,TOP,SOLO,3,6,1,86,6032,3
1494455845,1.40807E+12,TRUE,12,TOP,SOLO,3,7,19,118,10948,14
1505257482,1.40877E+12,TRUE,11,JUNGLE,NONE,8,7,11,99,15453,9
1509404836,1.40904E+12,TRUE,81,BOTTOM,DUO_CARRY,4,3,7,155,8696,5
1509407496,1.40904E+12,FALSE,13,TOP,SOLO,3,5,6,188,10314,11
1509427257,1.40905E+12,FALSE,75,TOP,SOLO,3,4,0,213,9054,8
1511973617,1.40921E+12,TRUE,12,TOP,SOLO,3,4,6,216,12863,12
1511978030,1.40921E+12,FALSE,26,MIDDLE,SOLO,3,4,11,109,9107,11
1513769218,1.40936E+12,TRUE,19,JUNGLE,NONE,5,1,4,48,10080,10
1513845369,1.40936E+12,TRUE,117,TOP,SOLO,8,8,17,236,16801,13
1523371356,1.40979E+12,TRUE,412,BOTTOM,DUO_SUPPORT,3,4,24,46,12665,27
1523507736,1.40979E+12,FALSE,55,MIDDLE,SOLO,2,6,2,169,9086,16
1523650918,1.4098E+12,TRUE,101,MIDDLE,DUO,10,9,11,160,14968,12
1523715434,1.4098E+12,TRUE,84,MIDDLE,SOLO,6,3,4,114,8322,5
1523927309,1.40981E+12,TRUE,101,MIDDLE,SOLO,4,5,11,218,14021,10
1523967280,1.40981E+12,TRUE,81,BOTTOM,DUO_CARRY,11,2,3,157,12881,5
1524016425,1.40982E+12,FALSE,101,MIDDLE,SOLO,2,10,4,188,10496,7
1530252694,1.41005E+12,TRUE,80,TOP,SOLO,4,2,4,106,6999,5
1530288553,1.41006E+12,TRUE,12,TOP,SOLO,2,4,13,167,11103,5
1530358642,1.41006E+12,FALSE,53,BOTTOM,DUO_SUPPORT,0,6,2,30,3756,14
1530487748,1.41006E+12,TRUE,238,MIDDLE,SOLO,10,7,3,276,15996,15
1530621912,1.41007E+12,FALSE,18,BOTTOM,DUO_CARRY,8,7,10,200,13612,9
1530707334,1.41007E+12,FALSE,29,BOTTOM,DUO_CARRY,14,6,8,221,15031,5
1530803158,1.41007E+12,TRUE,236,BOTTOM,DUO_CARRY,6,0,5,153,8299,3
1530808309,1.41008E+12,TRUE,236,BOTTOM,DUO_CARRY,17,3,13,306,19272,8
1530873844,1.41008E+12,TRUE,236,BOTTOM,DUO_CARRY,11,3,12,184,14905,7
1530877341,1.41008E+12,TRUE,236,BOTTOM,DUO_CARRY,5,3,16,192,13362,8
1530940105,1.41008E+12,FALSE,236,BOTTOM,DUO_CARRY,0,3,0,122,5028,4
1530933236,1.41009E+12,FALSE,238,MIDDLE,SOLO,3,2,4,244,13155,14
1530936188,1.41009E+12,FALSE,236,BOTTOM,DUO_CARRY,1,8,4,143,7882,7
1530958773,1.41009E+12,FALSE,57,TOP,SOLO,4,8,5,116,8305,5
1530981459,1.4101E+12,TRUE,19,JUNGLE,NONE,6,0,1,33,8023,9
1531012726,1.4101E+12,FALSE,254,JUNGLE,NONE,5,11,4,39,7947,8
1531015226,1.4101E+12,TRUE,121,JUNGLE,NONE,27,7,8,120,20929,13
1531072152,1.4101E+12,TRUE,121,JUNGLE,NONE,11,10,16,57,15561,11
1531084939,1.4101E+12,FALSE,12,TOP,SOLO,3,9,5,166,9892,17
1531106059,1.41011E+12,TRUE,15,BOTTOM,DUO_CARRY,9,5,15,249,15896,5
1531156547,1.41011E+12,TRUE,236,BOTTOM,DUO_CARRY,5,2,10,178,11577,4
1531914290,1.41014E+12,TRUE,76,TOP,SOLO,13,3,10,296,17931,11
1532024960,1.41014E+12,TRUE,9,BOTTOM,DUO_SUPPORT,12,11,19,94,16391,14
1532116145,1.41015E+12,FALSE,121,JUNGLE,NONE,9,9,3,35,9251,10
1532148653,1.41015E+12,FALSE,236,BOTTOM,DUO_CARRY,11,7,9,228,15083,8
1532218996,1.41015E+12,FALSE,236,BOTTOM,DUO_CARRY,4,7,3,230,10781,9
1532291877,1.41016E+12,FALSE,236,BOTTOM,DUO_CARRY,14,10,16,223,17087,10
1534777319,1.41032E+12,TRUE,236,BOTTOM,DUO_CARRY,3,3,10,144,8473,7
1537525580,1.4105E+12,FALSE,236,BOTTOM,DUO_CARRY,5,7,5,175,10772,6
1537586031,1.41051E+12,TRUE,236,BOTTOM,DUO_CARRY,10,2,8,195,12868,9
1537589365,1.41051E+12,FALSE,201,BOTTOM,DUO_SUPPORT,0,4,10,51,9019,29
1538202841,1.41056E+12,FALSE,236,BOTTOM,DUO_CARRY,10,11,10,178,13490,9
1538223609,1.41056E+12,TRUE,8,TOP,SOLO,5,5,8,276,12644,7
1538263665,1.41057E+12,TRUE,236,BOTTOM,DUO_CARRY,2,3,2,180,8213,6
1538279695,1.41057E+12,FALSE,19,JUNGLE,NONE,7,7,6,57,11802,16
1538454685,1.41057E+12,FALSE,236,BOTTOM,DUO_CARRY,5,8,11,269,18691,11
1539646602,1.41064E+12,TRUE,236,BOTTOM,DUO_CARRY,10,4,13,248,16581,5
1539696011,1.41064E+12,TRUE,12,BOTTOM,DUO_SUPPORT,0,5,33,37,12932,43
1539983496,1.41065E+12,FALSE,12,TOP,SOLO,3,6,1,200,9118,9
1541962764,1.41076E+12,TRUE,134,MIDDLE,SOLO,8,4,11,207,14139,20
1541982063,1.41076E+12,TRUE,51,BOTTOM,DUO_CARRY,5,1,5,125,9862,7
1541992788,1.41077E+12,FALSE,134,MIDDLE,SOLO,2,9,7,219,11869,13
1542572090,1.41082E+12,TRUE,236,BOTTOM,DUO_CARRY,4,0,8,251,13842,6
1542587545,1.41083E+12,TRUE,134,MIDDLE,SOLO,7,8,9,204,14198,13
1542636335,1.41083E+12,FALSE,134,MIDDLE,SOLO,8,7,4,178,10451,11
1542712855,1.41083E+12,TRUE,236,BOTTOM,DUO_CARRY,8,8,19,298,20943,6
1542759479,1.41083E+12,FALSE,236,BOTTOM,DUO_CARRY,11,3,3,287,14592,7
1542901719,1.41084E+12,TRUE,59,JUNGLE,NONE,9,2,13,94,12384,8
1543227351,1.41085E+12,FALSE,236,BOTTOM,DUO,14,6,14,251,19154,4
1544381343,1.41093E+12,TRUE,134,MIDDLE,SOLO,8,5,6,149,12094,11
1544389212,1.41093E+12,TRUE,59,JUNGLE,NONE,1,0,9,9,7597,8
1544441390,1.41093E+12,FALSE,134,MIDDLE,SOLO,4,9,4,118,7591,7
1544445494,1.41094E+12,TRUE,236,BOTTOM,DUO_CARRY,20,3,18,278,21681,10
1544473065,1.41094E+12,FALSE,236,BOTTOM,DUO_CARRY,5,8,9,171,10959,5
1546709374,1.41109E+12,TRUE,134,MIDDLE,SOLO,8,4,15,141,12842,10
1546807422,1.41109E+12,TRUE,134,MIDDLE,SOLO,11,10,24,184,17108,7
1546921326,1.41109E+12,FALSE,134,MIDDLE,SOLO,11,6,7,229,14761,10
1548504954,1.41118E+12,FALSE,134,MIDDLE,SOLO,6,7,9,260,14973,13
1557361373,1.4117E+12,TRUE,134,MIDDLE,SOLO,9,8,4,178,12811,8
1557383648,1.4117E+12,FALSE,8,TOP,SOLO,6,10,4,142,10330,10
1558685104,1.41179E+12,TRUE,67,BOTTOM,DUO_CARRY,3,0,7,171,10205,3
1558744758,1.41179E+12,FALSE,104,BOTTOM,DUO_CARRY,15,9,6,264,19837,14
1562784509,1.41204E+12,FALSE,121,JUNGLE,NONE,0,8,2,47,8114,16
1562836483,1.41204E+12,TRUE,236,BOTTOM,DUO_CARRY,11,5,12,181,14231,8
1562895535,1.41204E+12,FALSE,236,BOTTOM,DUO_CARRY,5,7,14,235,13750,10
1563249832,1.41206E+12,TRUE,222,BOTTOM,DUO_CARRY,10,3,9,129,10708,8
1563334831,1.41207E+12,FALSE,222,BOTTOM,DUO_CARRY,2,7,3,99,6137,5
1564338004,1.41214E+12,TRUE,222,BOTTOM,DUO_CARRY,8,4,7,197,14299,7
1566523182,1.4123E+12,TRUE,222,BOTTOM,DUO_CARRY,11,4,12,161,13161,9
1566702517,1.41231E+12,FALSE,222,BOTTOM,DUO,0,4,2,109,8085,1
1567725802,1.41239E+12,TRUE,412,BOTTOM,DUO_SUPPORT,2,0,10,5,7691,18
1567756432,1.41239E+12,FALSE,59,JUNGLE,NONE,12,7,14,88,17181,17
1567825155,1.41239E+12,TRUE,236,BOTTOM,DUO_CARRY,2,3,16,186,12276,6
1567944404,1.41239E+12,TRUE,51,BOTTOM,DUO_CARRY,7,3,5,198,11810,7
1568052903,1.4124E+12,FALSE,18,BOTTOM,DUO_CARRY,3,4,3,197,11256,14
1569184475,1.41247E+12,TRUE,42,BOTTOM,DUO_CARRY,10,5,12,190,14468,3
1569300334,1.41247E+12,TRUE,42,BOTTOM,DUO_CARRY,5,5,16,191,13488,8
1569346739,1.41247E+12,FALSE,42,BOTTOM,DUO_CARRY,8,6,6,183,11549,10
1569389704,1.41248E+12,FALSE,236,BOTTOM,DUO_CARRY,1,4,2,153,6630,5
1569458007,1.41248E+12,FALSE,42,BOTTOM,DUO_CARRY,12,4,5,241,15448,6
1571144981,1.41257E+12,TRUE,51,BOTTOM,DUO_CARRY,5,1,7,245,13226,4
1571905624,1.41264E+12,FALSE,24,TOP,SOLO,2,7,2,158,7399,7
1571947521,1.41264E+12,FALSE,236,BOTTOM,DUO_CARRY,6,8,12,332,16625,5
1572026366,1.41264E+12,FALSE,236,BOTTOM,DUO_CARRY,11,6,12,223,15780,7
1572069696,1.41264E+12,FALSE,38,MIDDLE,SOLO,8,10,6,154,11596,8
1573429707,1.41274E+12,FALSE,13,MIDDLE,SOLO,7,5,4,132,9602,8
1574077505,1.41279E+12,TRUE,13,TOP,SOLO,3,0,1,141,7606,6
1574589236,1.41282E+12,TRUE,13,TOP,SOLO,17,1,5,274,17423,11
1574766953,1.41282E+12,FALSE,13,TOP,SOLO,10,10,16,286,17980,16
1577290648,1.41299E+12,FALSE,236,BOTTOM,DUO_CARRY,4,7,4,217,9662,6
1577355589,1.41299E+12,FALSE,75,TOP,SOLO,1,3,2,128,5954,7
1577393594,1.41299E+12,TRUE,105,MIDDLE,SOLO,19,4,6,188,15335,11
1577433765,1.41299E+12,TRUE,55,MIDDLE,SOLO,2,1,12,98,7475,5
